season,team,seed,W,L,n_played,H_W,H_L,A_W,A_L,N_W,N_L,avg_ppg,avg_ppga,avg_fgm,avg_fga,avg_fgm3,avg_fga3,avg_ftm,avg_fta,avg_or,avg_dr,avg_ast,avg_to,avg_stl,avg_blk,avg_pf,W_last_8,L_last_8,n_played_last_8,H_W_last_8,H_L_last_8,A_W_last_8,A_L_last_8,N_W_last_8,N_L_last_8,avg_ppg_last_8,avg_ppga_last_8,avg_fgm_last_8,avg_fga_last_8,avg_fgm3_last_8,avg_fga3_last_8,avg_ftm_last_8,avg_fta_last_8,avg_or_last_8,avg_dr_last_8,avg_ast_last_8,avg_to_last_8,avg_stl_last_8,avg_blk_last_8,avg_pf_last_8
2003,1102,16,12,16,28,9,10,3,4,0,2,57.25,57.0,19.142857142857142,39.785714285714285,7.821428571428571,20.821428571428573,11.142857142857142,17.10714285714286,4.178571428571429,16.821428571428573,13.0,11.428571428571429,5.964285714285714,1.7857142857142858,18.75,2,6,1.0,2,2,0,3,0,1,57.625,61.875,18.875,36.875,5.625,16.0,14.25,19.625,3.25,15.125,10.625,12.25,6.5,1.125,19.125
2003,1103,16,13,14,27,9,9,4,5,0,0,78.7777777777778,78.14814814814815,27.14814814814815,55.851851851851855,5.444444444444445,16.074074074074073,19.037037037037038,25.85185185185185,9.777777777777779,19.925925925925927,15.222222222222221,12.62962962962963,7.2592592592592595,2.3333333333333335,19.851851851851855,4,4,1.0,2,2,2,2,0,0,71.5,71.25,25.875,51.625,6.625,18.0,13.125,18.125,8.625,19.375,15.125,13.625,7.125,2.5,16.625
2003,1104,10,17,11,28,13,8,1,2,3,1,69.28571428571428,65.00000000000003,24.035714285714285,57.17857142857143,6.357142857142857,19.857142857142858,14.857142857142858,20.928571428571427,13.571428571428571,23.928571428571427,12.107142857142858,13.285714285714286,6.607142857142857,3.7857142857142856,18.035714285714285,4,4,1.0,3,2,1,1,0,1,72.875,67.75,26.25,57.0,7.25,19.375,13.125,18.375,12.25,23.25,11.625,13.375,6.625,3.125,18.0
2003,1105,16,7,19,26,5,12,2,7,0,0,71.76923076923077,76.65384615384616,24.384615384615383,61.61538461538461,7.576923076923077,20.76923076923077,15.423076923076923,21.846153846153847,13.5,23.115384615384617,14.538461538461538,18.653846153846153,9.307692307692307,2.076923076923077,20.23076923076923,2,6,1.0,2,5,0,1,0,0,78.625,77.25,26.5,64.75,9.375,21.5,16.25,23.625,13.25,24.125,17.0,15.5,9.0,2.5,19.625
2003,1106,16,13,15,28,8,9,5,4,0,2,63.607142857142854,63.75,23.428571428571427,55.285714285714285,6.107142857142857,17.642857142857142,10.642857142857144,16.464285714285715,12.285714285714286,23.857142857142858,11.678571428571429,17.03571428571429,8.357142857142858,3.142857142857143,18.17857142857143,3,5,1.0,2,3,1,2,0,0,61.625,64.375,21.5,51.875,5.25,16.625,13.375,19.375,10.25,23.5,9.75,17.25,7.5,2.875,18.375
2003,1107,16,7,21,28,5,11,2,9,0,1,65.92857142857143,75.71428571428571,24.035714285714285,57.464285714285715,7.928571428571429,22.178571428571427,9.928571428571429,13.535714285714286,8.250000000000002,20.25,11.928571428571429,12.571428571428571,6.857142857142857,2.0357142857142856,15.892857142857142,2,6,1.0,1,2,1,3,0,1,66.0,74.625,23.625,55.375,7.375,20.5,11.375,14.75,6.75,21.5,11.125,10.875,5.75,2.625,16.0
2003,1108,16,14,19,33,7,12,5,3,2,4,69.09090909090911,73.12121212121212,24.939393939393938,58.72727272727273,5.212121212121212,16.333333333333332,14.0,20.939393939393938,13.121212121212121,23.21212121212121,13.848484848484848,18.454545454545453,8.181818181818182,3.515151515151515,19.666666666666675,5,3,1.0,2,2,2,0,1,1,67.625,66.625,23.75,55.5,4.75,16.625,15.375,23.0,9.75,22.5,13.625,13.25,8.75,3.375,20.375
2003,1110,16,16,14,30,11,13,3,1,2,0,66.36666666666669,61.9,23.166666666666668,53.53333333333333,8.766666666666667,23.133333333333333,11.266666666666667,16.533333333333335,9.999999999999998,23.133333333333333,14.233333333333333,13.166666666666666,6.4,1.7333333333333336,18.133333333333333,5,3,1.0,3,3,0,0,2,0,70.0,59.5,24.125,53.75,9.375,24.125,12.375,17.875,9.25,23.125,15.25,9.875,6.75,1.125,18.25
2003,1111,16,16,10,26,9,7,6,2,1,1,83.26923076923075,81.73076923076923,28.615384615384617,64.5,7.1923076923076925,21.96153846153846,18.84615384615385,26.192307692307693,13.0,25.307692307692307,15.230769230769237,16.192307692307686,9.846153846153847,4.615384615384615,18.69230769230769,4,4,1.0,1,1,2,2,1,1,78.125,81.875,26.0,64.75,5.875,19.875,20.25,29.125,14.625,24.0,13.0,14.375,9.0,3.75,19.375
2003,1112,1,25,3,28,14,1,11,1,0,1,85.21428571428571,70.24999999999999,30.321428571428573,65.71428571428571,7.035714285714286,20.071428571428573,17.535714285714285,25.0,15.178571428571429,27.642857142857142,17.64285714285714,14.785714285714286,8.464285714285714,4.214285714285714,17.749999999999996,7,1,1.0,4,0,3,0,0,1,86.625,72.625,31.125,66.25,6.875,20.625,17.5,23.25,13.375,28.0,18.0,12.375,7.625,4.375,19.0
2003,1113,10,18,11,29,12,6,4,3,2,2,75.96551724137932,69.17241379310344,27.20689655172414,56.89655172413793,4.0,12.586206896551724,17.551724137931043,26.20689655172414,13.689655172413794,23.310344827586206,15.551724137931034,14.0,5.206896551724138,4.241379310344827,19.413793103448278,4,4,1.0,4,2,0,1,0,1,82.625,78.875,29.75,61.0,4.375,13.625,18.75,26.5,13.5,21.5,17.625,12.5,5.625,3.0,20.625
2003,1114,16,16,12,28,9,8,4,2,3,2,70.03571428571429,70.0714285714286,23.857142857142858,53.214285714285715,6.785714285714286,18.285714285714285,15.535714285714286,22.428571428571427,10.535714285714286,22.857142857142858,11.5,15.964285714285708,6.607142857142857,2.357142857142857,20.5,5,3,1.0,2,1,2,1,1,1,65.75,66.875,21.625,49.5,7.375,18.625,15.125,19.875,9.0,21.0,10.25,15.5,5.625,2.125,20.75
2003,1115,16,4,24,28,2,16,2,8,0,0,54.5,74.17857142857143,19.250000000000004,54.285714285714285,4.75,16.857142857142858,11.25,17.607142857142858,9.964285714285714,21.035714285714285,10.178571428571427,19.107142857142858,7.964285714285714,2.7499999999999996,20.25,3,5,1.0,2,3,1,2,0,0,63.0,67.25,22.0,53.5,4.875,16.625,14.125,22.5,11.125,23.375,10.0,18.75,7.625,2.75,19.625
